Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,20,1n4148,
"H01, H02, H03, H04, H05, H06, H07",M2_Solder_nut_small_HS,7,M2 Solder Nut,C3020123
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW6, SW7, SW8, SW9",choc hs v1v2 led,20,MX_SW_solder,
"SW21, SW22",Panasonic_EVQPUL_EVQPUC,2,SW_Push,
